participant_id,Gender,Age,Ethnicity,Task_Order,Experimenter,Condition,Incentive ,Comments,Unnamed: 5,PI_Enticing,PI_Alive,PI_Safe,PI_Good,PI_Changing,PI_Hierarchical,PI_Understandable,PI_AboutMe,PI_Abundant,PI_Acceptable,PI_Beautiful,PI_Cooperative,PI_Funny,PI_Harmless,PI_Improvable,PI_Intentional,PI_Interconnected,PI_Interesting,PI_Just,PI_Meaningful,PI_NeedsMe,PI_Pleasurable,PI_Progressing,PI_Regenerative,PI_Stable,PI_WorthExploring,MAIA_Noticing,MAIA_NotDistracting,MAIA_NotWorrying,MAIA_AttentionRegulation,MAIA_EmotionalAwareness,MAIA_SelfRegulation,MAIA_BodyListening,MAIA_Trusting,PI_Beautiful_4_GE,PI_Regenerative_4_GS_R,PI_Good_1_G_R,PI_Understandable_4_G,PI_Stable_4_GS_R,PI_Regenerative_3_GS,PI_Understandable_2_G_R,PI_Cooperative_1_GS_R,PI_Abundant_2_GE,PI_Changing_5_R,PI_Acceptable_2_R,PI_Hierarchical_4,PI_Just_4_GS,PI_Meaningful_1_GE,PI_Changing_3,PI_Stable_1_GS_R,PI_NeedsMe_3_GA_R,PI_Enticing_1_GE,PI_Harmless_4_GS,PI_Harmless_3_GS,PI_Cooperative_4_GS,PI_Understandable_1_G,PI_Changing_1,PI_WorthExploring_1_GE,PI_Harmless_1_GS,PI_Harmless_2_GS_R,PI_Funny_1_GE,PI_Intentional_2_A,PI_Harmless_5_GS_R,PI_Just_2_GA,PI_Funny_2_GE,PI_Beautiful_1_GE,PI_Hierarchical_5,PI_Pleasurable_4_GS,PI_Interconnected_2_R,PI_Intentional_5_A_R,PI_Progressing_2_GS_R,PI_Hierarchical_3_R,PI_Interesting_1_GE_R,PI_Intentional_1_A,PI_Interesting_4_GE_R,PI_Abundant_4_GE,PI_Regenerative_1_GS,PI_WorthExploring_3_GE,PI_Stable_3_GS_R,PI_Progressing_1_GS_R,PI_Understandable_3_G_R,PI_Improvable_2_G_R,PI_Beautiful_2_GE_R,PI_Improvable_5_GE,PI_Meaningful_3_GE_R,PI_AboutMe_4,PI_Acceptable_4_R,PI_NeedsMe_4_GA,PI_Stable_2_GS,PI_Improvable_1_G,PI_Improvable_4_GE,PI_Funny_3_G_R,PI_Funny_4_GE,PI_WorthExploring_2_GE_R,PI_WorthExploring_4_GE,PI_Pleasurable_3_GS_R,PI_AboutMe_1_A,PI_Interesting_2_GE_R,PI_Progressing_3_GS,PI_Improvable_3_GE,PI_Pleasurable_1_GS_R,PI_Interesting_3_GE,PI_AboutMe_5_A,PI_Changing_2,PI_Hierarchical_1,PI_Just_5_GS_R,PI_NeedsMe_2_GA,PI_Hierarchical_2,PI_Pleasurable_2_GS,PI_Cooperative_3_GS_R,PI_Abundant_1_GE,PI_Enticing_2_GE,PI_Acceptable_1_R,PI_Pleasurable_5_GS,PI_Meaningful_4_GE_R,PI_AboutMe_2_A,PI_Abundant_3_GE_R,PI_Regenerative_2_GS_R,PI_Interconnected_4,PI_AboutMe_3_A_R,PI_Just_3_GS,PI_Interconnected_3,PI_Just_1_G,PI_Intentional_4_A_R,PI_Beautiful_3_GE,PI_Intentional_3_A,PI_Meaningful_2_GE_R,PI_Acceptable_3,PI_Progressing_4_GS,PI_Changing_4,PI_NeedsMe_1_GA,PI_Cooperative_2_GS_R,PI_Interconnected_1,MAIA_NotWorrying_5_R,MAIA_NotDistracting_1_R,MAIA_NotDistracting_2_R,MAIA_NotWorrying_1_R,MAIA_EmotionalAwareness_2,MAIA_SelfRegulation_3,MAIA_NotDistracting_6_R,MAIA_Noticing_1,MAIA_AttentionRegulation_3,MAIA_Trusting_1,MAIA_NotDistracting_3_R,MAIA_BodyListening_2,MAIA_NotDistracting_5_R,MAIA_Noticing_2,MAIA_Trusting_2,MAIA_AttentionRegulation_4,MAIA_EmotionalAwareness_5,MAIA_EmotionalAwareness_3,MAIA_Noticing_4,MAIA_NotWorrying_3,MAIA_Noticing_3,MAIA_SelfRegulation_2,MAIA_BodyListening_1,MAIA_NotWorrying_4,MAIA_AttentionRegulation_6,MAIA_EmotionalAwareness_4,MAIA_Trusting_3,MAIA_AttentionRegulation_7,MAIA_NotDistracting_4_R,MAIA_SelfRegulation_4,MAIA_AttentionRegulation_2,MAIA_EmotionalAwareness_1,MAIA_AttentionRegulation_1,MAIA_SelfRegulation_1,MAIA_NotWorrying_2_R,MAIA_BodyListening_3,MAIA_AttentionRegulation_5,IAS_16,IAS_14,IAS_5,IAS_10,IAS_19,IAS_15,IAS_20,IAS_18,IAS_8,IAS_3,IAS_9,IAS_11,IAS_4,IAS_21,IAS_6,IAS_17,IAS_2,IAS_1,IAS_7,IAS_13,IAS_12,HRV_MeanNN,HRV_SDNN,HRV_RMSSD,HRV_SampEn,HRV_HF,HRV_HFD,HRV_LFHF,HRV_IALS,HRV_Ca,HRV_AI,HCT_Accuracy,HCT_Sensibility,HCT_Awareness,HRV_MeanNN_HCT,HRV_SDNN_HCT,HRV_RMSSD_HCT
sub-01,Female,20.0,Caucasian,Task_First,Exp1,Task,Money_10,AF7 and AF8 unstable during RS and TAP; EEG disconnected during HCT,,0.6644444444444444,0.2774999999999999,0.4739999999999999,0.4770422535211268,0.716,0.446,0.2825,0.346,0.5275,0.5675,0.5575,0.505,0.505,0.396,0.434,0.2619999999999999,0.5825,0.7675,0.434,0.4225,0.2325,0.51,0.295,0.4775,0.355,0.7825,0.265,0.3033333333333333,0.6140000000000001,0.2328571428571428,0.248,0.245,0.24,0.4599999999999999,0.22,0.7,0.26,0.24,0.71,0.51,0.68,0.27,0.65,0.32,0.5,0.7,0.23,0.28,0.75,0.59,0.7,0.7,0.32,0.31,0.48,0.29,0.67,0.73,0.28,0.27,0.5,0.7,0.66,0.27,0.5,0.64,0.63,0.36,0.7,0.94,0.72,1.0,0.25,0.26,0.2,0.56,0.27,0.8,0.5,0.69,0.72,0.74,0.27,0.58,0.22,0.21,0.35,0.22,0.22,0.34,0.67,0.35,0.37,0.2,0.8,0.38,0.3,0.15,0.28,0.32,0.32,0.67,0.24,0.79,0.62,0.28,0.3,0.28,0.33,0.61,0.26,0.72,0.48,0.56,0.67,0.3,0.36,0.61,0.36,0.32,0.28,1.0,0.67,0.93,0.64,0.22,0.7,0.6,0.31,0.69,0.11,0.58,0.67,0.49,0.64,0.74,0.62,0.3,0.3,0.67,0.24,0.24,0.51,0.71,0.28,0.74,0.32,0.62,0.24,0.23,0.23,0.23,0.69,0.27,0.26,0.25,0.7,0.22,0.23,0.25,0.22,0.68,0.21,0.25,0.25,0.23,0.21,0.21,0.19,0.23,0.13,0.69,0.74,0.71,0.34,0.75,0.65,0.31,0.65,0.5,0.7,0.8,0.19,0.62,0.86,0.73,0.28,0.29,0.58,0.62,0.69,647.8951285520974,43.220853431634026,23.542047086645,1.2351738625555748,0.0017055055634348588,1.576879162574541,7.902490915891606,0.4876712328767124,0.5225788552982396,50.11788256507595,0.8787672994803724,0.041666666666666664,-0.17654696590094993,686.9629697661057,68.12206641148923,36.14671378004959
sub-02,Male,48.0,Caucasian,Questionnaire_First,Exp1,Questionnaire,Money_10,perfect EEG signal during RS; AF7 unstable during TAP and HCT; answered body sensation in TAP = general feeling,,0.8866666666666667,0.8425,0.5466666666666667,0.6585915492957746,0.8800000000000001,0.194,0.3925,0.5539999999999999,0.7174999999999999,0.1049999999999999,0.8975,0.7024999999999999,0.71,0.308,0.552,0.78,0.905,0.91,0.5640000000000001,0.9125,0.71,0.5740000000000001,0.745,0.7325,0.24,0.8925000000000001,0.7749999999999999,0.3183333333333333,0.5599999999999999,0.7185714285714286,0.692,0.8775,0.6266666666666666,0.3333333333333333,0.88,0.12,0.31,0.21,0.89,0.19,0.37,0.27,0.75,0.18,0.88,0.36,0.88,0.88,0.89,0.87,0.2,0.9,0.62,0.1,0.63,0.34,0.9,0.89,0.33,0.89,0.87,0.87,0.62,0.26,0.64,0.9,0.28,0.34,0.09,0.1,0.11,0.9,0.04,0.61,0.12,0.73,0.65,0.88,0.64,0.11,0.61,0.65,0.1,0.1,0.08,0.61,0.88,0.67,0.36,0.72,0.71,0.33,0.66,0.09,0.89,0.62,0.36,0.09,0.61,0.88,0.64,0.89,0.63,0.9,0.12,0.36,0.73,0.11,0.89,0.26,0.74,0.93,0.91,0.9,0.07,0.38,0.35,0.11,0.9,0.21,0.7,0.91,0.34,0.12,0.91,0.64,0.08,0.09,0.59,0.89,0.64,0.29,0.9,0.74,0.76,0.69,0.31,0.64,0.87,0.61,0.7,0.9,0.3,0.68,0.64,0.61,0.77,0.35,0.86,0.75,0.86,0.78,0.78,0.85,0.9,0.59,0.66,0.38,0.34,0.35,0.67,0.74,0.88,0.62,0.87,0.83,0.86,0.59,0.65,0.77,0.34,0.83,0.62,0.69,0.84,0.86,0.68,0.62,0.78,0.81,0.58,0.67,0.89,0.75,0.8,0.63,0.36,0.36,0.87,0.64,0.85,799.3789649415693,42.63303936011024,23.028592087049216,1.2430975988181685,0.0026750180900197403,1.655502070135327,4.2791868736050676,0.401006711409396,0.4607670439292327,50.12318151877945,0.8579573006185909,0.12,-0.17393131069573453,823.0429950579587,44.446590407935055,22.04894547424733
sub-03,Female,25.0,Asian,Task_First,Exp1,Task,Money_10,AF7 and AF8 and TP9 unstable sometimes during RS; AF8 unstable during TAP; EEG disconnected during HCT,,0.69,0.64,0.4686666666666667,0.5695774647887323,0.762,0.682,0.35,0.614,0.5449999999999999,0.2425,0.6175,0.395,0.64,0.43,0.518,0.7140000000000001,0.7550000000000001,0.72,0.732,0.7025,0.6,0.682,0.2875,0.535,0.5225,0.6525,0.6775,0.4666666666666665,0.37,0.4942857142857143,0.784,0.4574999999999999,0.7666666666666666,0.68,0.65,0.33,0.12,0.19,0.6,0.63,0.73,0.62,0.59,0.32,0.82,0.75,0.6,0.81,0.75,0.58,0.32,0.85,0.41,0.76,0.42,0.66,0.74,0.92,0.41,0.79,0.56,0.84,0.64,0.82,0.79,0.54,0.87,0.68,0.18,0.7,0.77,0.43,0.26,0.8,0.28,0.58,0.59,0.4,0.6,0.77,0.72,0.6,0.38,0.58,0.08,0.31,0.74,0.59,0.87,0.39,0.62,0.62,0.83,0.32,0.61,0.14,0.67,0.23,0.38,0.6,0.26,0.65,0.62,0.87,0.64,0.34,0.58,0.58,0.55,0.61,0.33,0.63,0.82,0.58,0.32,0.69,0.32,0.31,0.74,0.22,0.66,0.75,0.92,0.2,0.66,0.83,0.6,0.35,0.31,0.77,0.55,0.61,0.71,0.57,0.24,0.87,0.4,0.92,0.57,0.39,0.93,0.65,0.81,0.65,0.81,0.66,0.74,0.62,0.38,0.69,0.78,0.36,0.35,0.68,0.36,0.78,0.28,0.41,0.64,0.61,0.78,0.39,0.59,0.21,0.89,0.6,0.31,0.81,0.71,0.43,0.16,0.32,0.38,0.67,0.77,0.66,0.25,0.38,0.75,0.26,0.67,0.72,0.37,0.32,0.67,0.64,0.37,0.64,0.57,0.74,0.59,845.9920494699646,48.36039508506303,35.76428484950398,1.5021543192605329,0.017420064030705517,1.8813822176874115,0.40288600802056035,0.40248226950354604,0.4430159884260425,50.31475266222205,0.8983653724133297,0.315,-0.4928053803045812,852.370875143422,47.26124549208376,34.02367850879559
sub-04,Female,37.0,Asian,Questionnaire_First,Exp1,Questionnaire,Money_10,Horrible ECG signal possibly due to slim participant but still readable; Added PPG but the signal was bad so can be ignored; AF8 unstable during RS and TAP; Good EEG signal during HCT but lost connection in middle,,0.6211111111111111,0.3,0.5486666666666667,0.5174647887323943,0.708,0.444,0.0875,0.684,0.4599999999999999,0.365,0.5425,0.545,0.5875,0.41,0.572,0.626,0.725,0.6699999999999999,0.426,0.7024999999999999,0.205,0.506,0.8125,0.5225,0.52,0.6575,0.5225,0.3183333333333333,0.584,0.5599999999999999,0.518,0.395,0.59,0.5933333333333334,0.61,0.39,0.5,0.07,0.57,0.59,0.93,0.39,0.66,0.81,0.65,0.29,0.58,0.73,0.84,0.61,0.7,0.84,0.46,0.21,0.62,0.08,0.83,0.85,0.73,0.64,0.22,0.62,0.71,0.34,0.77,0.66,0.23,0.55,0.24,0.79,0.2,0.38,0.07,0.84,0.31,0.26,0.68,0.86,0.2,0.07,0.87,0.73,0.81,0.63,0.22,0.81,0.54,0.05,0.46,0.58,0.53,0.24,0.6,0.91,0.83,0.75,0.89,0.25,0.81,0.85,0.52,0.31,0.81,0.83,0.3,0.42,0.4,0.78,0.63,0.47,0.06,0.58,0.74,0.62,0.46,0.85,0.14,0.25,0.76,0.94,0.1,0.59,0.53,0.37,0.71,0.83,0.24,0.39,0.71,0.85,0.07,0.58,0.79,0.41,0.67,0.59,0.44,0.46,0.25,0.62,0.44,0.55,0.55,0.66,0.64,0.83,0.48,0.76,0.65,0.61,0.63,0.47,0.78,0.7,0.33,0.56,0.58,0.74,0.66,0.47,0.46,0.72,0.6,0.43,0.23,0.62,0.4,0.59,0.57,0.47,0.25,0.68,0.6,0.25,0.4,0.31,0.43,0.65,0.53,0.83,0.67,0.45,0.42,0.72,0.6,0.7,0.3,0.71,0.66,0.39,0.41,788.5897858319605,36.157917224404144,21.543100937882688,1.195501440611195,0.006944227021750906,1.7496212593689375,1.0266247203283256,0.3695652173913043,0.4064303805593795,49.771782839715534,0.7005284122644558,0.4566666666666666,0.8857142857142858,869.3354843304843,20.069338876979312,13.997126765135393
sub-05,Male,26.0,Asian,Task_First,Exp1,Task,Money_10,Amazing EEG signal during RS and TAP but AF8 unstable in middle; Good EEG during HCT,,0.6066666666666667,0.4674999999999999,0.3773333333333334,0.5098591549295775,0.72,0.538,0.27,0.72,0.5125,0.45,0.4975,0.38,0.5075000000000001,0.356,0.558,0.5740000000000001,0.71,0.665,0.5439999999999999,0.5575,0.3925,0.5359999999999999,0.4375,0.48,0.395,0.8625,0.6825,0.4683333333333332,0.352,0.6671428571428571,0.6439999999999999,0.6175,0.73,0.6833333333333335,0.65,0.36,0.24,0.06,0.66,0.78,0.39,0.72,0.75,0.37,0.69,0.62,0.65,0.37,0.65,0.66,0.36,0.91,0.43,0.26,0.75,0.26,0.79,0.8,0.42,0.77,0.29,0.69,0.56,0.73,0.74,0.0,0.75,0.72,0.24,0.74,0.69,0.76,0.59,0.81,0.21,0.33,0.61,1.0,0.73,0.59,0.85,0.73,0.66,0.35,0.67,0.77,0.74,0.28,0.63,0.77,0.68,0.67,0.67,0.35,1.0,0.69,0.72,0.24,0.65,0.72,0.67,0.7,0.78,0.76,0.33,0.4,0.41,0.75,0.75,0.75,0.32,0.73,0.73,0.57,0.25,0.67,0.35,0.33,0.72,0.34,0.36,0.75,0.38,0.69,1.0,0.8,0.22,0.96,0.38,0.77,0.24,0.76,0.61,0.32,0.75,0.28,0.71,0.74,0.83,0.31,0.34,0.85,0.68,0.76,0.73,0.74,0.71,0.62,0.72,0.86,0.22,0.68,0.27,1.0,0.63,0.71,0.25,0.72,0.73,0.75,0.76,0.35,0.7,0.66,0.67,0.27,0.31,0.73,0.75,0.69,0.67,0.73,0.5,0.31,0.74,0.71,0.5,0.27,0.5,0.7,0.27,0.7,0.66,0.68,0.5,0.69,0.71,0.71,0.32,0.28,0.7,786.3587848932676,43.287971153051316,28.343943124450863,1.5330574989540329,0.0076303903498700296,1.7685025634118694,1.3948026863628764,0.43572621035058434,0.4547041982637028,49.855446929026535,0.846955758306549,0.2816666666666667,0.7650368522374495,822.832438088872,48.87958684022396,31.297052680933678
sub-06,Female,26.0,Asian,Questionnaire_First,Exp1,Questionnaire,Money_10,ECG not obvious but recognisable throughout; TP9 and AF7 and AF8 unstable during RS and HCT; TP9 and AF8 unstable during TAP,,0.6533333333333334,0.7949999999999999,0.4839999999999999,0.5556338028169014,0.724,0.412,0.32,0.316,0.53,0.1775,0.7000000000000001,0.53,0.58,0.224,0.722,0.8260000000000002,0.975,0.8200000000000001,0.422,0.525,0.4175,0.596,0.5499999999999999,0.3875,0.69,0.8275,0.61,0.5816666666666667,0.538,0.4228571428571429,0.4,0.2374999999999999,0.1433333333333333,0.5266666666666667,0.81,0.02,0.28,0.18,0.5,0.92,0.48,0.29,0.5,0.22,0.83,0.24,0.57,0.27,0.68,0.2,0.14,0.72,0.22,0.19,0.65,0.26,1.0,0.87,0.18,0.86,0.23,0.73,0.61,0.62,0.84,0.87,0.86,0.7,0.01,0.15,0.77,0.99,0.08,0.93,0.17,0.43,0.8,0.97,0.5,0.26,0.68,0.13,0.69,0.63,0.06,0.36,0.93,0.24,0.96,0.71,0.84,0.4,0.65,0.32,0.79,0.41,0.3,0.25,0.83,0.56,0.59,0.78,0.1,0.9,0.66,0.78,0.47,0.29,0.43,0.61,0.63,0.68,0.74,0.85,0.28,0.04,0.44,0.71,1.0,0.22,0.44,0.94,0.26,0.31,0.81,0.93,0.83,0.21,0.4,0.26,0.1,0.63,0.97,0.12,0.88,0.13,0.3,0.13,0.08,0.12,0.03,0.83,0.38,0.74,0.14,0.14,0.79,0.5,0.59,0.64,0.33,0.98,0.6,0.64,0.69,0.08,0.12,0.5,0.62,0.7,0.18,0.5,0.08,0.2,0.28,0.45,0.1,0.61,0.21,0.21,0.4,0.33,0.29,0.8,0.31,0.74,1.0,0.2,0.62,0.99,0.66,0.74,0.44,0.63,0.5,0.25,0.3,0.9,0.9,0.38,0.5,808.9307432432432,96.96432665562266,61.2762495980736,0.9543689987991303,0.002970481432511865,1.8112474239421115,6.482150526107647,0.2512820512820513,0.5471747582119049,50.37289484606521,0.7789661511682061,0.535,0.08571428571428573,798.5959010840107,76.27466405701873,51.54203011261962
sub-07,Female,22.0,Caucasian,Task_First,Exp1,Task,Money_10,THE BEST EEG SIGNAL QUALITY THROUGHOUT; skipped a HCT confidence rating (0.5) accidentally,,0.9388888888888888,0.985,0.7926666666666666,0.7898591549295775,0.866,0.248,0.2,0.754,0.7849999999999999,0.6375,0.875,1.0,0.92,0.644,0.716,0.934,0.99,0.975,0.874,0.965,0.785,0.908,0.565,0.6174999999999999,0.6625,1.0,0.9325,0.5633333333333334,0.404,0.5871428571428571,0.91,0.7575000000000001,0.8266666666666667,0.91,1.0,0.11,0.03,0.08,0.35,0.74,0.8,0.0,0.64,0.27,0.57,0.0,1.0,0.9,0.85,0.39,0.0,1.0,0.82,0.7,1.0,0.13,0.97,1.0,0.68,0.59,1.0,0.78,0.39,1.0,0.84,0.92,0.24,0.91,0.0,0.05,0.39,0.16,0.0,1.0,0.0,1.0,0.68,1.0,0.29,0.32,0.61,0.08,0.14,0.8,0.04,0.63,0.34,0.9,0.68,0.19,0.67,0.0,0.84,0.0,1.0,0.0,0.81,0.05,0.52,1.0,0.0,0.95,0.64,1.0,0.16,0.28,0.66,0.0,0.63,0.0,0.82,1.0,0.52,1.0,0.0,0.69,0.32,0.0,0.96,0.0,0.72,1.0,0.93,0.01,0.72,0.95,0.0,0.98,0.45,0.78,0.58,0.0,1.0,0.62,0.41,0.44,0.56,0.59,0.74,0.39,0.8,0.96,0.91,0.43,0.93,0.32,0.95,0.82,0.78,1.0,1.0,1.0,0.46,0.98,0.78,0.87,0.36,0.08,0.96,1.0,0.38,0.63,0.95,0.39,1.0,0.57,0.56,0.62,0.68,0.95,0.61,1.0,1.0,1.0,1.0,1.0,1.0,0.63,1.0,1.0,1.0,1.0,1.0,0.97,1.0,1.0,0.14,1.0,0.95,1.0,1.0,708.9852071005918,52.0111363014158,23.00866181503215,1.0418218601129021,0.002247403760211853,1.491042960316203,5.673382859597439,0.34580838323353297,0.5637558155880259,50.22060499181661,0.6054596504832593,0.8099999999999999,0.6668859288553503,704.238170025757,46.567653054335686,20.820570552159197
sub-08,Female,22.0,Caucasian,Questionnaire_First,Exp1,Questionnaire,Money_10,Good EEG during RS; Good EEG during TAP but disconnected but then reconnected; Unstable AF8 and TP10 during HCT,,0.7555555555555555,0.1575,0.2219999999999999,0.5183098591549297,0.882,0.5880000000000001,0.4349999999999999,0.36,0.8625,0.1925,0.7525,0.2275,1.0,0.2359999999999999,0.8800000000000001,0.118,1.0,0.8049999999999999,0.062,0.6174999999999999,0.5425,0.228,0.035,0.4750000000000001,0.295,0.865,0.8800000000000001,0.4016666666666666,0.418,0.8499999999999999,0.908,0.9825,0.7866666666666666,0.82,0.74,0.61,0.58,0.36,0.92,0.11,0.29,0.72,0.9,0.0,0.88,0.7,0.15,0.59,1.0,0.35,0.73,0.79,0.12,0.44,0.12,0.24,0.85,1.0,0.24,0.79,1.0,0.18,0.83,0.0,1.0,0.7,0.64,0.1,0.0,1.0,1.0,0.45,0.0,0.0,0.24,0.62,0.63,1.0,0.69,0.86,0.57,0.42,0.25,0.82,0.32,0.41,0.76,1.0,0.14,1.0,1.0,0.0,1.0,0.33,0.79,0.89,0.38,0.26,0.0,1.0,0.92,0.72,0.32,0.78,0.43,0.85,0.67,0.62,0.39,0.76,0.93,0.91,0.84,0.46,0.4,0.33,0.0,0.75,1.0,0.64,0.0,1.0,0.01,1.0,0.82,0.41,0.4,0.25,0.0,0.78,0.23,0.73,1.0,0.38,0.32,0.4,0.59,0.8,1.0,0.41,0.72,0.83,0.92,1.0,0.69,0.71,0.91,0.75,0.82,0.76,1.0,0.89,0.26,1.0,1.0,0.94,0.65,0.8,0.98,0.79,0.86,0.75,1.0,0.96,1.0,0.87,0.93,0.85,0.73,0.81,0.31,0.9,0.97,0.88,0.87,0.98,0.34,0.88,1.0,1.0,0.87,1.0,0.66,0.84,0.9,1.0,1.0,0.87,0.9,0.9,0.88,799.3797996661102,83.30871833806093,44.400248952268406,0.9767052475862346,0.003640738426476375,1.706791071128797,9.70427346911228,0.2533557046979866,0.5263162347396436,50.514406304403145,0.6833904274057075,0.5233333333333333,0.753702346348183,914.3415607452372,59.845908964902804,46.08796402015519
sub-09,Male,26.0,Indian,Task_First,Exp1,Task,Money_10,No ECG signal; Used PPG during RS only; Good EEG throughout,,0.5222222222222223,0.4599999999999999,0.1713333333333333,0.3508450704225352,0.892,0.316,0.205,0.76,0.72,0.2275,0.4349999999999999,0.1425,0.37,0.354,0.382,0.758,0.7525,0.4999999999999999,0.132,0.4924999999999999,0.2075,0.3319999999999999,0.1624999999999999,0.3275,0.1999999999999999,0.4499999999999999,0.3425,0.3233333333333333,0.592,0.2985714285714285,0.422,0.4825,0.1399999999999999,0.6433333333333334,0.57,0.86,0.42,0.15,0.79,0.22,0.87,0.83,0.62,0.08,0.92,0.21,0.17,0.69,0.83,0.91,0.88,0.8,0.59,0.26,0.16,0.35,0.85,0.36,0.37,0.85,0.4,0.83,0.6,0.12,0.63,0.4,0.32,0.18,0.26,0.99,0.9,0.77,0.22,1.0,0.39,0.72,0.81,0.37,0.77,0.86,0.81,0.81,0.31,0.28,0.74,0.41,0.97,0.28,0.27,0.11,0.37,0.79,0.24,0.66,0.73,0.61,0.94,0.68,0.3,0.96,0.97,0.29,0.98,0.9,0.2,0.92,0.36,0.62,0.5,0.8,0.86,0.68,0.96,0.56,0.16,0.71,0.32,0.8,0.9,0.24,0.15,0.5,0.14,0.05,0.08,1.0,0.82,0.76,0.11,0.96,0.07,0.96,0.87,0.34,0.91,0.73,0.67,0.37,0.62,0.7,0.05,0.35,0.54,0.74,0.18,0.34,0.83,0.56,0.61,0.27,0.78,0.1,0.66,0.39,0.7,0.0,0.62,0.04,0.66,0.83,0.1,0.64,0.3,0.12,0.03,0.64,0.31,0.31,0.24,0.23,0.2,0.44,0.64,0.65,0.35,0.2,0.69,0.06,0.95,0.4,0.81,0.79,0.19,0.38,0.83,0.97,0.58,0.67,0.79,0.84,0.91,1524.5,1041.1074990966708,1397.515451323638,1.7294610467769458,0.014253043055821427,2.0047535327306125,1.7361726249885605,0.6875,0.47431502463982267,50.59841308108876,0.7534104239986593,0.21666666666666667,0.11595420713048969,933.0766193836633,509.0713387917585,700.6126394013905
sub-10,Female,26.0,Indian,Questionnaire_First,Exp1,Questionnaire,Money_10,ECG noisy but detectable; Good EEG during RS but disconnected then reconnected; Good EEG for TAP overall; AF7 and 8 unstable during HCT,,0.6633333333333334,0.5525,0.4873333333333334,0.574225352112676,0.714,0.462,0.4025,0.426,0.8075,0.2,0.6299999999999999,0.47,0.5225,0.606,0.624,0.558,0.61,0.7775000000000001,0.532,0.6025,0.5125,0.604,0.495,0.44,0.5449999999999999,0.4700000000000001,0.6575,0.455,0.484,0.6371428571428571,0.778,0.4975,0.4833333333333334,0.73,0.71,0.5,0.23,0.65,0.5,0.54,0.71,0.5,0.5,0.08,0.84,0.39,0.5,0.52,0.75,0.54,0.5,0.7,0.57,0.6,0.73,0.5,0.6,0.56,0.62,0.51,0.61,0.58,0.25,0.62,0.45,0.69,0.63,0.56,0.45,0.35,0.58,0.67,0.05,0.5,0.34,0.9,0.7,0.5,0.47,0.44,0.83,0.53,0.55,0.78,0.42,0.44,0.83,0.5,0.69,0.54,0.75,0.5,0.53,0.82,0.64,0.5,0.47,0.1,0.5,0.58,0.5,0.6,0.29,0.59,0.53,0.55,0.55,0.43,0.7,0.75,0.89,0.77,0.87,0.76,0.19,0.43,0.06,0.5,0.62,0.5,0.53,0.75,0.56,0.44,0.67,0.5,0.5,0.34,0.5,0.71,0.5,0.6,0.52,0.5,0.39,0.35,0.5,0.89,0.44,0.5,0.58,0.67,0.87,0.91,0.35,0.62,0.8,0.73,0.52,0.84,0.81,0.54,0.51,0.71,0.51,0.56,0.53,0.53,0.89,0.59,0.5,0.5,0.33,0.59,0.46,0.89,0.71,0.62,0.54,0.76,0.82,0.5,1.0,0.63,0.69,1.0,0.88,0.68,0.69,0.87,0.69,1.0,0.98,0.67,0.6,1.0,0.4,1.0,0.75,0.86,1.0,593.1569646569646,42.456126844082604,17.221337902923416,0.9061224784449023,0.006250208651118802,1.4627764197455349,8.550894450885602,0.21473684210526314,0.5130027050265256,50.50001770885487,0.6551768350506079,0.51,0.6377481392176932,683.4005240939726,51.73712011200097,27.222295669887256
